Date,Forecast
2023-04-15,24.079378128051758
2023-04-16,25.361927032470703
2023-04-17,24.55884552001953
2023-04-18,24.852689743041992
2023-04-19,22.71283531188965
2023-04-20,22.181440353393555
2023-04-21,21.278135299682617
2023-04-22,21.816287994384766
2023-04-23,21.480138778686523
2023-04-24,21.391069412231445
2023-04-25,21.92725372314453
2023-04-26,21.28301239013672
2023-04-27,22.34011459350586
2023-04-28,23.366287231445312
2023-04-29,23.18299674987793
2023-04-30,22.832014083862305
2023-05-01,21.98663330078125
2023-05-02,22.264978408813477
2023-05-03,22.218002319335938
2023-05-05,22.60466526571698
2023-05-06,22.684479635926145
2023-05-07,22.769892987863685
2023-05-08,22.855125354834765
2023-05-09,22.939125483736326
2023-05-10,23.020193271106827
2023-05-11,23.096744135803746
2023-05-12,23.167717197864107
2023-05-13,23.23259453222431
2023-05-14,23.291299124005015
2023-05-15,23.344092823795993
2023-05-16,23.39147237756902
2023-05-17,23.43397688947951
2023-05-18,23.472260986001896
