Date,Forecast
2023-04-15,6.806902885437012
2023-04-16,6.833064079284668
2023-04-17,6.695542812347412
2023-04-18,6.922027111053467
2023-04-19,6.319921016693115
2023-04-20,6.11122989654541
2023-04-21,5.851493835449219
2023-04-22,5.953291893005371
2023-04-23,5.917685031890869
2023-04-24,5.891438007354736
2023-04-25,6.001255989074707
2023-04-26,5.852431774139404
2023-04-27,5.971175193786621
2023-04-28,5.94859504699707
2023-04-29,6.040212154388428
2023-04-30,5.901270866394043
2023-05-01,5.6679229736328125
2023-05-02,5.718677997589111
2023-05-03,5.778507232666016
2023-05-05,6.188441083979615
2023-05-06,6.298863235004916
2023-05-07,6.409050527757856
2023-05-08,6.513983911748037
2023-05-09,6.611346346705908
2023-05-10,6.700841029539699
2023-05-11,6.781380695658434
2023-05-12,6.853163720496049
2023-05-13,6.916462205222462
2023-05-14,6.972047609858535
2023-05-15,7.020759799747175
2023-05-16,7.0635488488056986
2023-05-17,7.1012933853928395
2023-05-18,7.13480553269312
