Date,Forecast
2023-05-10,1842.4014892578125
2023-05-11,1796.4906005859375
2023-05-12,1808.019775390625
2023-05-13,1796.1148681640625
2023-05-14,1800.5009765625
2023-05-15,1817.5499267578125
2023-05-16,1824.1214599609375
2023-05-17,1821.859619140625
2023-05-18,1801.728515625
2023-05-19,1812.5894775390625
2023-05-20,1820.47802734375
2023-05-21,1804.5313720703125
2023-05-22,1817.5347900390625
2023-05-23,1854.380615234375
2023-05-25,1822.7779589668023
2023-05-26,1836.6032528645273
2023-05-27,1849.3860906545908
2023-05-28,1862.6750240711158
2023-05-29,1875.4254952804172
2023-05-30,1888.0201585338423
2023-05-31,1900.0664114101992
2023-06-01,1911.6802691859857
2023-06-02,1922.7577664805722
2023-06-03,1933.379329343125
2023-06-04,1943.561771581832
2023-06-05,1953.3815960239494
2023-06-06,1962.8900847844507
2023-06-07,1972.1511303344505
