Date,Forecast
2023-05-10,0.369937002658844
2023-05-11,0.36003899574279785
2023-05-12,0.3704630136489868
2023-05-13,0.36503100395202637
2023-05-14,0.3707610070705414
2023-05-15,0.3674820065498352
2023-05-16,0.3678300082683563
2023-05-17,0.3754250109195709
2023-05-18,0.372078001499176
2023-05-19,0.36821499466896057
2023-05-20,0.3663569986820221
2023-05-21,0.3603630065917969
2023-05-22,0.3679969906806946
2023-05-23,0.37048399448394775
2023-05-25,0.36117021181679143
2023-05-26,0.35876537024584204
2023-05-27,0.35622414895049453
2023-05-28,0.353479049070853
2023-05-29,0.3506158207022483
2023-05-30,0.3476229690762094
2023-05-31,0.34445839789369814
2023-06-01,0.3410707316818916
2023-06-02,0.337415044322796
2023-06-03,0.333456785701255
2023-06-04,0.3291728785340022
2023-06-05,0.32454711168764044
2023-06-06,0.3195670032475514
2023-06-07,0.3142212558744934
