Date,Forecast
2023-04-24,21.391069412231445
2023-04-25,21.92725372314453
2023-04-26,21.28301239013672
2023-04-27,22.34011459350586
2023-04-28,23.366287231445312
2023-04-29,23.18299674987793
2023-04-30,22.832014083862305
2023-05-01,21.98663330078125
2023-05-02,22.264978408813477
2023-05-03,22.218002319335938
2023-05-04,21.730348587036133
2023-05-05,22.82611083984375
2023-05-06,21.974262237548828
2023-05-07,21.844228744506836
2023-05-08,20.65746307373047
2023-05-09,20.683645248413086
2023-05-10,20.953710556030273
2023-05-11,20.234880447387695
2023-05-12,20.911794662475586
2023-05-15,21.565180036222024
2023-05-16,21.759942964597524
2023-05-17,21.947963240286374
2023-05-18,22.128116446050132
2023-05-19,22.294530197338748
2023-05-20,22.446574897513575
2023-05-21,22.583014457761127
2023-05-22,22.70464405671064
2023-05-23,22.812466813165585
2023-05-24,22.9080538306646
2023-05-25,22.993016645557972
2023-05-26,23.068937913616246
2023-05-27,23.13717309671589
2023-05-28,23.19890822399882
