Date,Forecast
2023-05-05,0.9989330172538757
2023-05-06,0.9777910113334656
2023-05-07,0.965624988079071
2023-05-08,0.900642991065979
2023-05-09,0.877144992351532
2023-05-10,0.8773589730262756
2023-05-11,0.8425009846687317
2023-05-12,0.8650850057601929
2023-05-13,0.8494070172309875
2023-05-14,0.8597729802131653
2023-05-15,0.8602520227432251
2023-05-16,0.8460109829902649
2023-05-17,0.8876799941062927
2023-05-18,0.8727009892463684
2023-05-19,0.8709350228309631
2023-05-20,0.877144992351532
2023-05-21,0.8567829728126526
2023-05-22,0.8719720244407654
2023-05-23,0.8898800015449524
2023-05-25,0.8765644275060274
2023-05-26,0.8805910691340332
2023-05-27,0.884447371951411
2023-05-28,0.8887985908002713
2023-05-29,0.8932819528290206
2023-05-30,0.8979750482651241
2023-05-31,0.9027554112970193
2023-06-01,0.9076244978119767
2023-06-02,0.9125272410150069
2023-06-03,0.9174476261461364
2023-06-04,0.9223540518875561
2023-06-05,0.9272276773451799
2023-06-06,0.9320458078056759
2023-06-07,0.9367898592962408
