Date,Forecast
2023-05-05,5.853751182556152
2023-05-06,5.653782844543457
2023-05-07,5.641276836395264
2023-05-08,5.3758931159973145
2023-05-09,5.328574180603027
2023-05-10,5.470531940460205
2023-05-11,5.285426139831543
2023-05-12,5.345987796783447
2023-05-13,5.351903915405273
2023-05-14,5.354409217834473
2023-05-15,5.320285797119141
2023-05-16,5.299292087554932
2023-05-17,5.413900852203369
2023-05-18,5.341458797454834
2023-05-19,5.370038986206055
2023-05-20,5.414481163024902
2023-05-21,5.273439884185791
2023-05-22,5.31261682510376
2023-05-23,5.400730133056641
2023-05-25,5.864258382031224
2023-05-26,6.00763935730736
2023-05-27,6.150622821656491
2023-05-28,6.285913347482328
2023-05-29,6.410190616458635
2023-05-30,6.523985529890409
2023-05-31,6.625744906937619
2023-06-01,6.716051712955933
2023-06-02,6.795251014792118
2023-06-03,6.864456679106837
2023-06-04,6.924769271525909
2023-06-05,6.977460751009836
2023-06-06,7.023690587767312
2023-06-07,7.064532365324904
